ID.,21,22,23,24,25,26,27,28,29,30,31,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
A,E3,長,長,休,夜,休,E3,長,長,E3,休,休,休,E3,休,E3,休,休,休,休,E3,長,休,夜,休,E3,長,日,長,休,夜
B,休,夜,休,E3,長,E3,E3,休,E3,休,E3,休,休,長,E3,E3,休,休,夜,休,長,N4,休,休,休,休,休,夜,休,E3,長
C,長,E3,休,夜,休,E3,長,E3,休,E3,休,E3,E3,休,夜,休,E3,長,休,休,E3,E3,日,休,E3,休,休,休,休,夜,休
D,E3,E3,休,休,休,休,休,夜,休,E3,長,長,E3,休,E3,休,夜,休,E3,長,休,E3,E3,E3,休,E3,E3,休,夜,休,E3
E,E3,E3,休,休,休,休,夜,休,E3,長,休,E3,長,E3,休,夜,休,E3,長,休,E3,E3,休,休,夜,休,E3,長,E3,休,長
F,休,E3,E3,E3,E3,休,夜,休,E3,長,長,E3,E3,休,休,夜,休,E3,長,E3,E3,休,E3,E3,休,休,休,休,夜,休,E3
G,夜,休,長,N4,休,休,休,休,休,夜,休,E3,長,E3,長,日,休,休,長,E3,休,夜,休,E3,長,休,休,E3,休,長,E3
H,休,E3,休,E3,E3,E3,休,長,休,夜,休,長,N4,E3,長,N4,休,休,休,休,夜,休,E3,長,休,E3,E3,E3,E3,休,夜
I,E3,休,夜,休,E3,長,E3,E3,長,休,E3,休,休,夜,休,E3,長,休,休,休,休,休,夜,休,E3,長,E3,E3,E3,休,日
J,休,休,夜,休,E3,長,長,E3,E3,休,E3,休,休,休,休,休,休,夜,休,E3,長,長,E3,休,E3,長,E3,E3,休,夜,休
K,休,休,休,休,休,休,E3,休,夜,休,E3,長,E3,長,休,E3,長,E3,休,休,E3,E3,長,E3,E3,休,休,夜,休,夜,休
L,休,夜,休,E3,長,E3,長,休,E3,休,夜,休,E3,長,E3,休,休,休,休,休,休,休,長,休,E3,休,夜,休,E3,長,長
M,長,長,E3,休,休,休,休,夜,休,E3,長,休,休,休,E3,休,夜,休,E3,長,E3,E3,E3,休,休,夜,休,E3,長,E3,長
N,夜,休,E3,長,E3,E3,休,休,休,休,休,E3,E3,休,夜,休,E3,長,休,休,長,E3,休,夜,休,E3,長,N4,休,E3,休
O,夜,休,E3,長,休,休,休,E3,休,夜,休,E3,長,E3,E3,休,E3,E3,休,夜,休,長,N4,長,休,休,休,休,長,E3,E3
P,休,夜,休,E3,長,E3,E3,E3,休,休,休,夜,休,長,N4,長,E3,E3,休,休,夜,休,E3,長,休,休,休,休,休,E3,E3
Q,E3,E3,E3,E3,休,休,夜,休,E3,長,E3,休,休,休,休,E3,長,E3,E3,E3,休,休,夜,休,E3,長,E3,休,夜,休,E3
R,長,休,E3,長,休,休,休,休,休,E3,E3,休,夜,休,E3,長,E3,休,E3,E3,休,夜,休,E3,長,E3,休,長,E3,休,夜
S,E3,長,長,休,休,夜,休,E3,長,E3,休,休,休,休,夜,休,E3,長,E3,長,休,休,休,夜,休,E3,長,E3,E3,長,休
T,休,休,夜,休,E3,長,E3,長,休,休,休,休,休,E3,長,E3,休,休,E3,E3,休,夜,休,E3,長,休,休,夜,休,E3,長
